paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year,direct_article_id,direct_id_sources,direct_id_values,direct_id_conflict,query_signature
P00000208,"내부노동시장의 해체인가 축소인가 기업규모별 임금격차 분해를 통해 본 한국노동시장의 구조 변동, 1982～2004.",김영미,한국사회학,2008,,,,False,내부노동시장의해체인가축소인가기업규모별임금격차분해를통해본한국노동시장의구조변동19822004||김영미||한국사회학||2008
P00000210,정규직-비정규직의 연대정치: 현대자동차 울산공장 사례를 중심으로,이병훈,한국사회학,2014,,,,False,정규직비정규직의연대정치현대자동차울산공장사례를중심으로||이병훈||한국사회학||2014
P00000211,결합노동시장지위와 임금불평등의 확대(2004∼2015년),이철승,경제와 사회,2017,,,,False,결합노동시장지위와임금불평등의확대20042015년||이철승||경제와사회||2017
P00000277,한국의 대 아프리카 외교의 동학과 대응방안: 에너지·자원외교를 중심으로,이호영,국제관계연구,2011,ART001586896,paper_uid,ART001586896,False,한국의대아프리카외교의동학과대응방안에너지자원외교를중심으로||이호영||국제관계연구||2011
P00000355,유신체제의 모순과 한미갈등: 민주주의 없는 국가안보,정일준,사회와역사(구 한국사회사학회논문집),2006,,,,False,유신체제의모순과한미갈등민주주의없는국가안보||정일준||사회와역사구한국사회사학회논문집||2006
P00000370,기회에서 교착상태로 : 데탕트시기 한미관계와 한반도의 국제정치,신욱희,한국정치외교사논총,2005,ART001159648,paper_uid,ART001159648,False,기회에서교착상태로데탕트시기한미관계와한반도의국제정치||신욱희||한국정치외교사논총||2005
P00000390,북한 핵증강론의 담론적 기원과 당론화 과정,이중구,국제정치논총,2017,ART002211886,paper_uid,ART002211886,False,북한핵증강론의담론적기원과당론화과정||이중구||국제정치논총||2017
P00000534,역사교육과 국가 이미지의 상관관계에 대한 연구 -대한민국 중등학교 역사교육이 중국 국가 이미지에 어떤 영향을 끼치는가에 대한 설문조사 분석을 중심으로-,강택구,경주사학,2010,,,,False,역사교육과국가이미지의상관관계에대한연구대한민국중등학교역사교육이중국국가이미지에어떤영향을끼치는가에대한설문조사분석을중심으로||강택구||경주사학||2010
P00000540,한ㆍ중 양국의 역사인식과 중ㆍ고교 역사학습론 비교,권소연,역사교육연구,2006,,,,False,한중양국의역사인식과중고교역사학습론비교||권소연||역사교육연구||2006
P00000550,국내 학계의 중국 역사교과서 연구 경향과 과제,오병수,동북아역사논총,2016,,,,False,국내학계의중국역사교과서연구경향과과제||오병수||동북아역사논총||2016
P00000551,역사교과서‧이미지‧스테레오타입 - 한‧중 역사교과서에 나타난 상호 이미지의 비교분석을 중심으로 -,박재영,경주사학,2009,,,,False,역사교과서이미지스테레오타입한중역사교과서에나타난상호이미지의비교분석을중심으로||박재영||경주사학||2009
P00000562,역사교과서 속의 민주주의: 한중일 3국 비교,유용태,역사교육,2014,,,,False,역사교과서속의민주주의한중일3국비교||유용태||역사교육||2014
P00000563,중국 역사교과서의 서사 구조와 이데올로기,윤세병,역사교육연구,2013,,,,False,중국역사교과서의서사구조와이데올로기||윤세병||역사교육연구||2013
P00000688,중국의 비공식적 경제 제재,조형진,분석과 대안,2021,,,,False,중국의비공식적경제제재||조형진||분석과대안||2021
P00000689,중국 신문보도에 나타난 한중관계 위협요인 분석: 한반도 사드배치 문제를 중심으로,주민욱,한국동북아논총,2020,,,,False,중국신문보도에나타난한중관계위협요인분석한반도사드배치문제를중심으로||주민욱||한국동북아논총||2020
P00000690,사드 한반도 배치의 군사적 효용성과 한반도 미래,김동엽,국제정치논총,2017,ART002238467,paper_uid,ART002238467,False,사드한반도배치의군사적효용성과한반도미래||김동엽||국제정치논총||2017
